TimeStamp,	Iteration,	EvaluatedCases,	QueuedCases,	RecentlyEvaluatedCases,	TentativeBestCaseID,	TentativeBestCaseOFValue,	StepLength

2017-03-20T12:57:15,	1,	2,	5,	1,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	1,	3,	4,	2,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	1,	4,	3,	3,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	1,	5,	2,	4,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	1,	6,	1,	5,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	1,	7,	0,	6,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	100
2017-03-20T12:57:15,	2,	8,	5,	1,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	2,	9,	4,	2,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	2,	10,	3,	3,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	2,	11,	2,	4,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	2,	12,	1,	5,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	2,	13,	0,	6,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	50
2017-03-20T12:57:15,	3,	14,	5,	1,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	3,	15,	4,	2,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	3,	16,	3,	3,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	3,	17,	2,	4,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	3,	18,	1,	5,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	3,	19,	0,	6,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	25
2017-03-20T12:57:15,	4,	20,	5,	1,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	4,	21,	4,	2,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	4,	22,	3,	3,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	4,	23,	2,	4,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	4,	24,	1,	5,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	4,	25,	0,	6,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	12.5
2017-03-20T12:57:15,	5,	26,	5,	1,	{43d4df88-f380-416a-a224-b98470be3b9a},	-0.238407,	6.25
