StartTime,	EndTime,	Duration,	CaseID

2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{2466b438-c6ea-4195-87b5-38e48090e029}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{18c6ee04-ca9d-45a1-9584-73dba02bf3e4}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{440524b2-8a04-4d35-9714-2328657ca869}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{e60210ab-9afa-4fcb-9b19-788330e63820}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{456f9eec-82fd-46db-8efc-613c16ea6e7b}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{b524619d-0a23-4c06-b85f-9504bbba05e3}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{779b0a70-a677-4012-a3dc-5a49e1258b3d}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{7a933932-382b-49c5-b631-f57451606746}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{5f1cef15-424c-43cb-8f9a-2b9f177c5bab}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{0b23bfc1-597b-4457-8380-d3bb4fccac32}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{00d8234e-9c12-4d2f-9cf1-5fd9c66db4b8}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{7c6084ff-ba96-430e-872d-6444caf46556}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{d1e4f000-d7ce-4df6-8dc0-8604bb3fc91c}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{50d5b3a9-3118-4c5a-aed6-8580d13694e6}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{c42db12c-8ec5-4ac0-96c1-a8620a8173b7}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{c3ddd090-6366-4522-88be-2d1573d4bf30}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{eb7ae05e-a234-486d-8b32-c7cf1c7e7d6d}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{6e9dcb33-74be-452a-a108-4f5b6a001f7c}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{0bc88ee5-b451-4ba6-abbf-4e6d8fa2b3fd}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{6a077294-7aaa-4191-bbc5-5e4b4e06e2fd}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{e3d28345-7f93-464d-a005-6796f70a2e24}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{e8daf447-a4bb-45fb-986e-0db737960d79}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{1eccad62-d5c7-4e22-a9a2-82e5397e6ab8}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{3f167f2c-0124-4b5c-973c-413e3b97d1c8}
2017-03-20T13:17:11,	2017-03-20T13:17:11,	0,	{26348720-98db-43f0-a8c3-60acb8c98dc5}
